TestID,Platform,GPU,Backend,Model,Layer,Direction,G,EP,Seq,Batch,AvgM,TotalM,N,K,Dtype,Check,Time (ms),TFLOPS,MFU (%),cv (%),Config,sclk (MHz)
26,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,dgrad,16,8,8192,1,512,8192,4096,2048,bf16,PASS,0.1273,1079.71,21.45,0.373,BM256/BN256/BK128/mw2/nw2/nb2,2358.0
27,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,dgrad_tr,16,8,8192,1,512,8192,4096,2048,bf16,PASS,0.5426,253.3,5.03,0.272,BM256/BN256/BK128/mw2/nw2/nb2,2347.9
28,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,wgrad,16,8,8192,1,512,8192,4096,2048,bf16,PASS,0.1169,1176.04,23.37,0.105,BM256/BN256/BK128/mw4/nw2/nb2,2359.2
29,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,fwd,16,8,8192,1,512,8192,2048,2048,bf16,PASS,0.228,301.36,5.99,94.195,BM256/BN256/BK128/mw2/nw2/nb2,2366.8
30,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,dgrad,16,8,8192,1,512,8192,2048,2048,bf16,PASS,0.1587,432.98,8.6,0.693,BM256/BN256/BK128/mw2/nw2/nb2,2367.4
31,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,dgrad_tr,16,8,8192,1,512,8192,2048,2048,bf16,PASS,0.4372,157.18,3.12,26.256,BM256/BN256/BK128/mw2/nw2/nb2,2361.2
32,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,wgrad,16,8,8192,1,512,8192,2048,2048,bf16,PASS,0.0643,1068.27,21.22,0.399,BM256/BN256/BK128/mw4/nw2/nb2,2370.5
33,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,fwd,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,0.2681,1025.18,20.37,50.724,BM256/BN256/BK128/mw2/nw2/nb2,2355.2
34,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,dgrad,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,0.1848,1487.24,29.55,1.571,BM256/BN256/BK128/mw2/nw2/nb2,2351.2
35,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,dgrad_tr,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,0.5998,458.25,9.1,0.047,BM256/BN256/BK128/mw2/nw2/nb2,2348.5
36,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,wgrad,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,0.1941,1416.0,28.13,0.392,BM256/BN256/BK128/mw4/nw2/nb2,2355.6
37,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,fwd,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,0.1084,1268.09,25.19,1.294,BM256/BN256/BK128/mw2/nw2/nb2,2359.9
38,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,dgrad,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,0.108,1272.24,25.28,0.482,BM256/BN256/BK128/mw2/nw2/nb2,2363.2
39,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,dgrad_tr,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,0.3318,414.17,8.23,0.306,BM256/BN256/BK128/mw2/nw2/nb2,2352.2
40,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,wgrad,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,0.1055,1302.7,25.88,1.024,BM256/BN256/BK128/mw4/nw2/nb2,2357.8
41,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,fwd,16,8,8192,4,2048,32768,4096,2048,bf16,PASS,0.3018,1821.83,36.2,2.341,BM256/BN256/BK128/mw2/nw2/nb2,2338.9
42,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,dgrad,16,8,8192,4,2048,32768,4096,2048,bf16,PASS,0.3087,1780.98,35.38,2.363,BM256/BN256/BK128/mw2/nw2/nb2,2332.2
43,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,dgrad_tr,16,8,8192,4,2048,32768,4096,2048,bf16,PASS,0.7166,767.2,15.24,0.053,BM256/BN256/BK128/mw2/nw2/nb2,2317.5
44,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,wgrad,16,8,8192,4,2048,32768,4096,2048,bf16,PASS,0.3411,1611.8,32.02,0.707,BM256/BN256/BK128/mw4/nw2/nb2,2321.9
45,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,fwd,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,0.1706,1611.0,32.01,0.607,BM256/BN256/BK128/mw2/nw2/nb2,2341.5
46,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,dgrad,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,0.277,992.24,19.71,54.939,BM256/BN256/BK128/mw2/nw2/nb2,2347.9
47,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,dgrad_tr,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,0.3926,700.12,13.91,0.217,BM256/BN256/BK128/mw2/nw2/nb2,2340.5
48,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,wgrad,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,0.1745,1575.59,31.3,0.158,BM256/BN256/BK128/mw4/nw2/nb2,2352.0
49,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,fwd,16,8,8192,1,512,8192,8192,4096,bf16,PASS,0.3792,1449.94,28.81,1.816,BM256/BN256/BK128/mw2/nw2/nb2,2321.2
50,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,dgrad,16,8,8192,1,512,8192,8192,4096,bf16,PASS,0.3716,1479.47,29.39,0.887,BM256/BN256/BK128/mw2/nw2/nb2,2314.5
51,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,dgrad_tr,16,8,8192,1,512,8192,8192,4096,bf16,PASS,1.8686,294.21,5.85,0.105,BM256/BN256/BK128/mw2/nw2/nb2,2288.8
52,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,wgrad,16,8,8192,1,512,8192,8192,4096,bf16,PASS,0.4541,1210.55,24.05,0.167,BM256/BN256/BK128/mw4/nw2/nb2,2321.6
53,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,fwd,16,8,8192,1,512,8192,4096,4096,bf16,PASS,0.1918,1433.23,28.48,1.002,BM256/BN256/BK128/mw2/nw2/nb2,2336.6
54,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,dgrad,16,8,8192,1,512,8192,4096,4096,bf16,PASS,0.1913,1436.92,28.55,0.84,BM256/BN256/BK128/mw2/nw2/nb2,2338.1
55,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,dgrad_tr,16,8,8192,1,512,8192,4096,4096,bf16,PASS,1.0137,271.16,5.39,0.681,BM256/BN256/BK128/mw2/nw2/nb2,2319.5
56,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,wgrad,16,8,8192,1,512,8192,4096,4096,bf16,PASS,0.2362,1163.52,23.12,0.945,BM256/BN256/BK128/mw4/nw2/nb2,2343.4
57,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,fwd,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,0.6379,1723.75,34.25,0.563,BM256/BN256/BK128/mw2/nw2/nb2,2315.5
