TestID,Platform,GPU,Backend,Model,Layer,Direction,G,EP,Seq,Batch,AvgM,TotalM,N,K,Dtype,Check,Time (ms),TFLOPS,MFU (%),cv (%),Config,sclk (MHz)
36,ROCm,Graphics,TRITON,qwen3-30b-a3b,fc2,wgrad,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,0.3217,854.54,16.98,0.178,,2278.4
37,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,fwd,16,8,8192,1,512,8192,8192,4096,bf16,PASS,0.4054,1356.06,26.94,0.494,,2175.6
38,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,dgrad,16,8,8192,1,512,8192,8192,4096,bf16,PASS,0.3736,1471.5,29.24,0.405,,2151.9
39,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,wgrad,16,8,8192,1,512,8192,8192,4096,bf16,PASS,0.8478,648.45,12.88,0.049,,2260.8
40,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,fwd,16,8,8192,1,512,8192,4096,4096,bf16,PASS,0.2066,1330.41,26.43,1.097,,2227.4
41,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,dgrad,16,8,8192,1,512,8192,4096,4096,bf16,PASS,0.1978,1389.93,27.62,0.267,,2222.5
42,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,wgrad,16,8,8192,1,512,8192,4096,4096,bf16,PASS,0.4506,609.98,12.12,0.139,,2275.5
43,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,fwd,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,0.7871,1396.94,27.75,0.184,,2138.2
44,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,dgrad,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,0.727,1512.36,30.05,0.261,,2117.0
45,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,wgrad,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,1.3464,816.63,16.22,0.095,,2250.4
46,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,fwd,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,0.3976,1382.62,27.47,0.364,,2184.0
47,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,dgrad,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,0.3856,1425.76,28.33,0.276,,2179.5
48,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,wgrad,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,0.7214,762.03,15.14,0.104,,2263.1
49,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,fwd,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,1.5741,1397.02,27.76,0.102,,2102.6
50,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,dgrad,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,1.4456,1521.13,30.22,0.158,,2098.5
51,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,wgrad,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,2.348,936.56,18.61,0.073,,2243.0
52,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,fwd,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,0.791,1390.02,27.62,0.048,,2139.9
