Model,Layer,Batch,AvgM,Direction,fly_TF,other_TF,speedup
deepseek-v3,fc1,1,128,dgrad,822.71,623.78,1.3189105133220047
deepseek-v3,fc1,1,128,dgrad_tr,74.85,623.78,0.11999422873448971
deepseek-v3,fc1,1,128,wgrad,580.72,253.05,2.2948824343015213
deepseek-v3,fc2,1,128,fwd,746.74,544.07,1.3725072141452386
deepseek-v3,fc2,1,128,dgrad,759.4,698.19,1.0876695455391798
deepseek-v3,fc2,1,128,dgrad_tr,66.52,698.19,0.09527492516363739
deepseek-v3,fc2,1,128,wgrad,638.06,285.98,2.2311350444086995
deepseek-v3,fc1,2,256,fwd,1129.96,1299.5,0.8695344363216622
deepseek-v3,fc1,2,256,dgrad,1109.77,1209.17,0.9177948510135051
deepseek-v3,fc1,2,256,dgrad_tr,142.78,1209.17,0.1180809977091724
deepseek-v3,fc1,2,256,wgrad,888.57,402.75,2.2062569832402237
deepseek-v3,fc2,2,256,fwd,1021.56,1046.3,0.9763547739654019
deepseek-v3,fc2,2,256,dgrad,1101.62,1344.4,0.8194138649211543
deepseek-v3,fc2,2,256,dgrad_tr,129.0,1344.4,0.09595358524248734
deepseek-v3,fc2,2,256,wgrad,909.89,452.53,2.0106733255253797
deepseek-v3,fc1,4,512,fwd,1474.43,1368.41,1.077476779620143
deepseek-v3,fc1,4,512,dgrad,1403.66,1377.92,1.0186803297724105
deepseek-v3,fc1,4,512,dgrad_tr,264.85,1377.92,0.1922099976776591
deepseek-v3,fc1,4,512,wgrad,1219.2,573.59,2.1255600690388605
deepseek-v3,fc2,4,512,fwd,1305.99,1196.77,1.0912623143962499
deepseek-v3,fc2,4,512,dgrad,1441.22,1421.98,1.0135304294012575
deepseek-v3,fc2,4,512,dgrad_tr,242.09,1421.98,0.17024852670220397
deepseek-v3,fc2,4,512,wgrad,1241.72,633.3,1.9607137217748305
