Model,Layer,Batch,AvgM,Direction,Time (ms),TFLOPS,MFU (%),cv (%),Config,TFLOPS_tri,vs_tri,TFLOPS_hbl,vs_hbl
qwen3-235b-a22b,fc1,1,512,fwd,0.385,1428.05,28.37,0.408,BM256/BN256/BK128/mw2/nw2/nb2,1356.06,1.053,1058.49,1.349
qwen3-235b-a22b,fc1,1,512,wgrad,0.4426,1242.13,24.68,0.287,BM256/BN256/BK128/mw4/nw2/nb2,648.45,1.916,65.93,18.84
qwen3-235b-a22b,fc1,2,1024,dgrad,0.6265,1755.0,34.87,0.203,BM256/BN256/BK128/mw2/nw2/nb2,1512.36,1.16,72.14,24.328
qwen3-235b-a22b,fc1,2,1024,fwd,0.6462,1701.6,33.81,0.355,BM256/BN256/BK128/mw2/nw2/nb2,1396.94,1.218,1505.61,1.13
qwen3-235b-a22b,fc1,2,1024,wgrad,0.7235,1519.75,30.19,0.151,BM256/BN256/BK128/mw4/nw2/nb2,816.63,1.861,69.88,21.748
qwen3-235b-a22b,fc1,4,2048,dgrad,1.1146,1972.88,39.2,0.129,BM256/BN256/BK128/mw2/nw2/nb2,1521.13,1.297,73.74,26.755
qwen3-235b-a22b,fc1,4,2048,fwd,1.1447,1921.05,38.17,0.281,BM256/BN256/BK128/mw2/nw2/nb2,1397.02,1.375,1991.63,0.965
qwen3-235b-a22b,fc1,4,2048,wgrad,1.2823,1714.88,34.07,0.127,BM256/BN256/BK128/mw4/nw2/nb2,936.56,1.831,70.86,24.201
qwen3-235b-a22b,fc2,1,512,dgrad,0.1978,1389.42,27.61,0.815,BM256/BN256/BK128/mw2/nw2/nb2,1389.93,1.0,66.66,20.843
qwen3-235b-a22b,fc2,1,512,fwd,0.1973,1393.55,27.69,1.182,BM256/BN256/BK128/mw2/nw2/nb2,1330.41,1.047,788.71,1.767
qwen3-235b-a22b,fc2,1,512,wgrad,0.2246,1223.61,24.31,0.432,BM256/BN256/BK128/mw4/nw2/nb2,609.98,2.006,66.12,18.506
qwen3-235b-a22b,fc2,2,1024,dgrad,0.3273,1679.62,33.37,0.339,BM256/BN256/BK128/mw2/nw2/nb2,1425.76,1.178,70.68,23.764
qwen3-235b-a22b,fc2,2,1024,fwd,0.3282,1674.92,33.28,0.711,BM256/BN256/BK128/mw2/nw2/nb2,1382.62,1.211,893.64,1.874
qwen3-235b-a22b,fc2,2,1024,wgrad,0.369,1489.95,29.6,0.425,BM256/BN256/BK128/mw4/nw2/nb2,762.03,1.955,68.69,21.691
qwen3-235b-a22b,fc2,4,2048,dgrad,0.5796,1896.97,37.69,0.138,BM256/BN256/BK128/mw2/nw2/nb2,1438.97,1.318,73.12,25.943
qwen3-235b-a22b,fc2,4,2048,fwd,0.5795,1897.28,37.7,0.1,BM256/BN256/BK128/mw2/nw2/nb2,1390.02,1.365,1545.89,1.227
qwen3-235b-a22b,fc2,4,2048,wgrad,0.6503,1690.89,33.59,0.102,BM256/BN256/BK128/mw4/nw2/nb2,867.22,1.95,69.93,24.18
deepseek-v3,fc1,1,128,dgrad,0.2923,822.71,16.35,0.372,BM128/BN128/BK128/mw2/nw2/nb2,623.78,1.319,63.71,12.913
deepseek-v3,fc1,1,128,fwd,0.2913,825.69,16.4,0.609,BM128/BN128/BK128/mw2/nw2/nb2,664.62,1.242,243.18,3.395
deepseek-v3,fc1,1,128,wgrad,0.4142,580.72,11.54,0.066,BM256/BN256/BK128/mw4/nw2/nb2,253.05,2.295,57.14,10.163
deepseek-v3,fc1,2,256,dgrad,0.4335,1109.77,22.05,0.564,BM256/BN256/BK128/mw2/nw2/nb2,1209.17,0.918,64.0,17.34
deepseek-v3,fc1,2,256,fwd,0.4257,1129.96,22.45,0.241,BM256/BN256/BK128/mw2/nw2/nb2,1299.5,0.87,454.21,2.488
deepseek-v3,fc1,2,256,wgrad,0.5414,888.57,17.65,0.082,BM256/BN256/BK128/mw4/nw2/nb2,402.75,2.206,62.69,14.174
deepseek-v3,fc1,4,512,dgrad,0.6854,1403.66,27.89,0.188,BM256/BN256/BK128/mw2/nw2/nb2,1377.92,1.019,68.0,20.642
deepseek-v3,fc1,4,512,fwd,0.6525,1474.43,29.29,0.205,BM256/BN256/BK128/mw2/nw2/nb2,1368.41,1.077,588.23,2.507
deepseek-v3,fc1,4,512,wgrad,0.7891,1219.2,24.22,0.198,BM256/BN256/BK128/mw4/nw2/nb2,573.59,2.126,67.34,18.105
deepseek-v3,fc2,1,128,dgrad,0.1584,759.4,15.09,0.543,BM128/BN128/BK128/mw2/nw2/nb2,698.19,1.088,22.73,33.41
deepseek-v3,fc2,1,128,fwd,0.161,746.74,14.84,1.697,BM128/BN128/BK128/mw2/nw2/nb2,544.07,1.373,313.0,2.386
deepseek-v3,fc2,1,128,wgrad,0.1885,638.06,12.68,0.144,BM256/BN256/BK128/mw4/nw2/nb2,285.98,2.231,52.03,12.263
deepseek-v3,fc2,2,256,dgrad,0.2183,1101.62,21.89,0.514,BM256/BN256/BK128/mw2/nw2/nb2,1344.4,0.819,44.43,24.795
deepseek-v3,fc2,2,256,fwd,0.2354,1021.56,20.3,0.443,BM256/BN256/BK128/mw2/nw2/nb2,1046.3,0.976,485.3,2.105
deepseek-v3,fc2,2,256,wgrad,0.2643,909.89,18.08,0.427,BM256/BN256/BK128/mw4/nw2/nb2,452.53,2.011,60.11,15.137
deepseek-v3,fc2,4,512,dgrad,0.3338,1441.22,28.63,0.43,BM256/BN256/BK128/mw2/nw2/nb2,1421.98,1.014,72.6,19.852
deepseek-v3,fc2,4,512,fwd,0.3683,1305.99,25.95,0.479,BM256/BN256/BK128/mw2/nw2/nb2,1196.77,1.091,751.94,1.737
deepseek-v3,fc2,4,512,wgrad,0.3874,1241.72,24.67,0.284,BM256/BN256/BK128/mw4/nw2/nb2,633.3,1.961,64.61,19.219
