TestID,Platform,GPU,Backend,Model,Layer,Direction,G,EP,Seq,Batch,AvgM,TotalM,N,K,Dtype,Check,Time (ms),TFLOPS,MFU (%),cv (%),Config,sclk (MHz)
34,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,fwd,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,0.3049,901.67,17.91,0.322,,2296.0
35,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,dgrad,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,4.4984,61.11,1.21,1.417,,2290.1
36,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,wgrad,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,4.1822,65.73,1.31,0.331,,2274.9
37,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,fwd,16,8,8192,1,512,8192,8192,4096,bf16,PASS,0.5194,1058.49,21.03,0.719,,2247.0
38,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,dgrad,16,8,8192,1,512,8192,8192,4096,bf16,PASS,7.7406,71.02,1.41,0.537,,2284.2
39,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,wgrad,16,8,8192,1,512,8192,8192,4096,bf16,PASS,8.3384,65.93,1.31,0.581,,2271.6
40,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,fwd,16,8,8192,1,512,8192,4096,4096,bf16,PASS,0.3485,788.71,15.67,0.396,,2284.2
41,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,dgrad,16,8,8192,1,512,8192,4096,4096,bf16,PASS,4.1235,66.66,1.32,1.592,,2290.6
42,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,wgrad,16,8,8192,1,512,8192,4096,4096,bf16,PASS,4.1571,66.12,1.31,0.084,,2272.2
43,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,fwd,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,0.7303,1505.61,29.91,0.645,,2193.2
44,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,dgrad,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,15.2419,72.14,1.43,0.177,,2277.6
45,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,wgrad,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,15.7353,69.88,1.39,0.055,,2265.6
46,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,fwd,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,0.6152,893.64,17.75,0.502,,2237.8
47,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,dgrad,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,7.7778,70.68,1.4,0.226,,2280.5
48,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,wgrad,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,8.004,68.69,1.36,0.041,,2267.4
49,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,fwd,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,1.1041,1991.63,39.57,0.447,,2122.9
50,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,dgrad,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,29.8202,73.74,1.47,0.34,,2276.6
51,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,wgrad,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,31.0348,70.86,1.41,0.041,,2264.2
52,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,fwd,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,0.7112,1545.89,30.71,0.188,,2203.0
53,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,dgrad,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,15.0374,73.12,1.45,0.178,,2276.9
54,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,wgrad,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,15.7241,69.93,1.39,0.05,,2266.8
