TestID,Platform,GPU,Backend,Model,Layer,Direction,G,EP,Seq,Batch,AvgM,TotalM,N,K,Dtype,Check,Time (ms),TFLOPS,MFU (%)
40,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,fwd,16,8,8192,1,512,8192,4096,4096,bf16,PASS,0.2116,1299.25,25.81
41,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,dgrad,16,8,8192,1,512,8192,4096,4096,bf16,PASS,0.198,1388.58,27.59
42,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,wgrad,16,8,8192,1,512,8192,4096,4096,bf16,PASS,0.4493,611.77,12.15
43,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,fwd,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,0.7815,1406.94,27.95
44,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,dgrad,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,0.7162,1535.27,30.5
45,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,wgrad,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,1.346,816.86,16.23
46,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,fwd,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,0.4006,1372.25,27.26
47,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,dgrad,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,0.3814,1441.57,28.64
48,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,wgrad,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,0.7223,761.15,15.12
49,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,fwd,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,1.5622,1407.63,27.97
50,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,dgrad,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,1.4312,1536.48,30.53
51,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc1,wgrad,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,2.3425,938.75,18.65
52,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,fwd,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,0.7875,1396.19,27.74
53,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,dgrad,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,0.7583,1449.88,28.81
54,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,wgrad,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,1.2625,870.93,17.3
55,ROCm,Graphics,TRITON,deepseek-v3,fc1,fwd,32,8,4096,1,128,4096,4096,7168,bf16,PASS,0.3624,663.74,13.19
56,ROCm,Graphics,TRITON,deepseek-v3,fc1,dgrad,32,8,4096,1,128,4096,4096,7168,bf16,PASS,0.3863,622.58,12.37
57,ROCm,Graphics,TRITON,deepseek-v3,fc1,wgrad,32,8,4096,1,128,4096,4096,7168,bf16,PASS,0.9538,252.18,5.01
58,ROCm,Graphics,TRITON,deepseek-v3,fc2,fwd,32,8,4096,1,128,4096,7168,2048,bf16,PASS,0.2314,519.66,10.32
59,ROCm,Graphics,TRITON,deepseek-v3,fc2,dgrad,32,8,4096,1,128,4096,7168,2048,bf16,PASS,0.1747,688.41,13.68
60,ROCm,Graphics,TRITON,deepseek-v3,fc2,wgrad,32,8,4096,1,128,4096,7168,2048,bf16,PASS,0.4208,285.77,5.68
61,ROCm,Graphics,TRITON,deepseek-v3,fc1,fwd,32,8,4096,2,256,8192,4096,7168,bf16,PASS,0.3718,1293.71,25.7
62,ROCm,Graphics,TRITON,deepseek-v3,fc1,dgrad,32,8,4096,2,256,8192,4096,7168,bf16,PASS,0.4011,1199.4,23.83
63,ROCm,Graphics,TRITON,deepseek-v3,fc1,wgrad,32,8,4096,2,256,8192,4096,7168,bf16,PASS,1.1955,402.36,7.99
64,ROCm,Graphics,TRITON,deepseek-v3,fc2,fwd,32,8,4096,2,256,8192,7168,2048,bf16,PASS,0.2389,1006.97,20.01
65,ROCm,Graphics,TRITON,deepseek-v3,fc2,dgrad,32,8,4096,2,256,8192,7168,2048,bf16,PASS,0.178,1350.88,26.84
66,ROCm,Graphics,TRITON,deepseek-v3,fc2,wgrad,32,8,4096,2,256,8192,7168,2048,bf16,PASS,0.5334,450.94,8.96
67,ROCm,Graphics,TRITON,deepseek-v3,fc1,fwd,32,8,4096,4,512,16384,4096,7168,bf16,PASS,0.7012,1372.05,27.26
68,ROCm,Graphics,TRITON,deepseek-v3,fc1,dgrad,32,8,4096,4,512,16384,4096,7168,bf16,PASS,0.699,1376.29,27.34
69,ROCm,Graphics,TRITON,deepseek-v3,fc1,wgrad,32,8,4096,4,512,16384,4096,7168,bf16,PASS,1.6729,575.1,11.43
70,ROCm,Graphics,TRITON,deepseek-v3,fc2,fwd,32,8,4096,4,512,16384,7168,2048,bf16,PASS,0.4125,1166.26,23.17
71,ROCm,Graphics,TRITON,deepseek-v3,fc2,dgrad,32,8,4096,4,512,16384,7168,2048,bf16,PASS,0.3365,1429.44,28.4
72,ROCm,Graphics,TRITON,deepseek-v3,fc2,wgrad,32,8,4096,4,512,16384,7168,2048,bf16,PASS,0.759,633.79,12.59
