TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
49,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,512,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
50,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,512,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
51,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,1024,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
52,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,1024,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
53,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,2048,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
54,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,2048,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
55,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,4096,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
56,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,4096,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
57,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,8192,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
58,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,8192,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
59,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,16384,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
60,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,16384,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
61,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,48,512,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
62,ROCm,Graphics,DeepSeek-V4-Pro-Down,48,512,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
63,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,48,1024,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
64,ROCm,Graphics,DeepSeek-V4-Pro-Down,48,1024,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
65,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,48,2048,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
66,ROCm,Graphics,DeepSeek-V4-Pro-Down,48,2048,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
67,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,48,4096,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
68,ROCm,Graphics,DeepSeek-V4-Pro-Down,48,4096,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
69,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,48,8192,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
70,ROCm,Graphics,DeepSeek-V4-Pro-Down,48,8192,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
71,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,48,16384,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
72,ROCm,Graphics,DeepSeek-V4-Pro-Down,48,16384,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
73,ROCm,Graphics,DeepSeek-V2-GateUP,5,512,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
74,ROCm,Graphics,DeepSeek-V2-Down,5,512,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
75,ROCm,Graphics,DeepSeek-V2-GateUP,5,1024,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
76,ROCm,Graphics,DeepSeek-V2-Down,5,1024,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
77,ROCm,Graphics,DeepSeek-V2-GateUP,5,2048,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
78,ROCm,Graphics,DeepSeek-V2-Down,5,2048,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
79,ROCm,Graphics,DeepSeek-V2-GateUP,5,4096,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
80,ROCm,Graphics,DeepSeek-V2-Down,5,4096,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
81,ROCm,Graphics,DeepSeek-V2-GateUP,5,8192,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
82,ROCm,Graphics,DeepSeek-V2-Down,5,8192,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
83,ROCm,Graphics,DeepSeek-V2-GateUP,5,16384,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
84,ROCm,Graphics,DeepSeek-V2-Down,5,16384,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
85,ROCm,Graphics,DeepSeek-V2-GateUP,10,512,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
86,ROCm,Graphics,DeepSeek-V2-Down,10,512,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
87,ROCm,Graphics,DeepSeek-V2-GateUP,10,1024,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
