TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
50,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,512,7168,3072,bf16,PASS,0.47,1144.19,1.68,645.56
51,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,1024,6144,7168,bf16,PASS,1.55,1399.48,5.08,852.83
52,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,1024,7168,3072,bf16,PASS,0.87,1239.21,2.52,858.21
53,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,2048,6144,7168,bf16,PASS,3.09,1402.96,8.80,984.46
54,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,2048,7168,3072,bf16,PASS,1.67,1292.61,4.28,1012.70
55,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,4096,6144,7168,bf16,PASS,6.13,1413.59,16.36,1058.32
56,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,4096,7168,3072,bf16,PASS,3.30,1313.85,8.09,1069.87
57,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,8192,6144,7168,bf16,PASS,12.21,1418.26,31.17,1111.29
58,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,8192,7168,3072,bf16,PASS,6.53,1326.45,15.54,1114.13
59,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,16384,6144,7168,bf16,PASS,24.35,1422.40,61.04,1134.86
60,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,16384,7168,3072,bf16,PASS,13.00,1332.53,30.23,1145.75
61,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,48,512,6144,7168,bf16,PASS,1.59,1361.67,6.51,665.02
62,ROCm,Graphics,DeepSeek-V4-Pro-Down,48,512,7168,3072,bf16,PASS,0.90,1196.28,3.20,676.32
63,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,48,1024,6144,7168,bf16,PASS,3.11,1393.04,10.17,851.50
64,ROCm,Graphics,DeepSeek-V4-Pro-Down,48,1024,7168,3072,bf16,PASS,1.71,1265.60,4.94,877.26
65,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,48,2048,6144,7168,bf16,PASS,6.20,1396.32,17.71,977.68
66,ROCm,Graphics,DeepSeek-V4-Pro-Down,48,2048,7168,3072,bf16,PASS,3.38,1280.19,8.65,1000.80
67,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,48,4096,6144,7168,bf16,PASS,12.33,1404.12,32.42,1068.29
68,ROCm,Graphics,DeepSeek-V4-Pro-Down,48,4096,7168,3072,bf16,PASS,6.66,1299.73,16.01,1081.49
69,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,48,8192,6144,7168,bf16,PASS,24.57,1409.37,62.61,1106.43
70,ROCm,Graphics,DeepSeek-V4-Pro-Down,48,8192,7168,3072,bf16,PASS,13.28,1304.29,30.74,1126.85
71,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,48,16384,6144,7168,bf16,PASS,48.99,1413.81,122.66,1129.49
72,ROCm,Graphics,DeepSeek-V4-Pro-Down,48,16384,7168,3072,bf16,PASS,26.46,1308.84,60.51,1144.81
73,ROCm,Graphics,DeepSeek-V2-GateUP,5,512,3072,5120,bf16,PASS,0.12,666.90,0.29,554.00
74,ROCm,Graphics,DeepSeek-V2-Down,5,512,5120,1536,bf16,PASS,0.07,584.36,0.23,356.67
75,ROCm,Graphics,DeepSeek-V2-GateUP,5,1024,3072,5120,bf16,PASS,0.13,1266.13,0.45,712.26
76,ROCm,Graphics,DeepSeek-V2-Down,5,1024,5120,1536,bf16,PASS,0.09,911.49,0.29,559.38
77,ROCm,Graphics,DeepSeek-V2-GateUP,5,2048,3072,5120,bf16,PASS,0.25,1299.18,0.77,841.81
78,ROCm,Graphics,DeepSeek-V2-Down,5,2048,5120,1536,bf16,PASS,0.17,953.09,0.40,811.44
79,ROCm,Graphics,DeepSeek-V2-GateUP,5,4096,3072,5120,bf16,PASS,0.49,1312.99,1.36,950.22
80,ROCm,Graphics,DeepSeek-V2-Down,5,4096,5120,1536,bf16,PASS,0.30,1062.22,0.72,899.66
81,ROCm,Graphics,DeepSeek-V2-GateUP,5,8192,3072,5120,bf16,PASS,0.97,1334.63,2.54,1014.76
82,ROCm,Graphics,DeepSeek-V2-Down,5,8192,5120,1536,bf16,PASS,0.57,1129.71,1.36,949.64
83,ROCm,Graphics,DeepSeek-V2-GateUP,5,16384,3072,5120,bf16,PASS,1.83,1405.55,4.93,1045.85
84,ROCm,Graphics,DeepSeek-V2-Down,5,16384,5120,1536,bf16,PASS,1.10,1169.80,2.67,966.69
85,ROCm,Graphics,DeepSeek-V2-GateUP,10,512,3072,5120,bf16,PASS,0.13,1225.62,0.57,569.70
86,ROCm,Graphics,DeepSeek-V2-Down,10,512,5120,1536,bf16,PASS,0.09,862.11,0.32,502.99
87,ROCm,Graphics,DeepSeek-V2-GateUP,10,1024,3072,5120,bf16,PASS,0.26,1260.91,0.88,733.06
88,ROCm,Graphics,DeepSeek-V2-Down,10,1024,5120,1536,bf16,PASS,0.17,933.66,0.41,781.99
89,ROCm,Graphics,DeepSeek-V2-GateUP,10,2048,3072,5120,bf16,PASS,0.50,1295.19,1.46,879.95
90,ROCm,Graphics,DeepSeek-V2-Down,10,2048,5120,1536,bf16,PASS,0.31,1045.05,0.70,920.20
91,ROCm,Graphics,DeepSeek-V2-GateUP,10,4096,3072,5120,bf16,PASS,0.98,1316.04,2.66,969.26
92,ROCm,Graphics,DeepSeek-V2-Down,10,4096,5120,1536,bf16,PASS,0.58,1113.72,1.28,1008.30
93,ROCm,Graphics,DeepSeek-V2-GateUP,10,8192,3072,5120,bf16,PASS,1.85,1391.41,5.05,1020.70
94,ROCm,Graphics,DeepSeek-V2-Down,10,8192,5120,1536,bf16,PASS,1.11,1158.53,2.45,1052.30
95,ROCm,Graphics,DeepSeek-V2-GateUP,10,16384,3072,5120,bf16,PASS,3.67,1404.91,9.96,1034.54
96,ROCm,Graphics,DeepSeek-V2-Down,10,16384,5120,1536,bf16,PASS,2.21,1164.77,4.74,1087.88
97,ROCm,Graphics,DeepSeek-V2-GateUP,20,512,3072,5120,bf16,PASS,0.26,1230.73,1.07,600.82
98,ROCm,Graphics,DeepSeek-V2-Down,20,512,5120,1536,bf16,PASS,0.18,894.80,0.51,629.25
99,ROCm,Graphics,DeepSeek-V2-GateUP,20,1024,3072,5120,bf16,PASS,0.50,1284.40,1.64,785.91
100,ROCm,Graphics,DeepSeek-V2-Down,20,1024,5120,1536,bf16,PASS,0.32,1019.69,0.80,807.03
101,ROCm,Graphics,DeepSeek-V2-GateUP,20,2048,3072,5120,bf16,PASS,0.99,1307.91,2.81,918.27
102,ROCm,Graphics,DeepSeek-V2-Down,20,2048,5120,1536,bf16,PASS,0.59,1086.79,1.37,938.25
103,ROCm,Graphics,DeepSeek-V2-GateUP,20,4096,3072,5120,bf16,PASS,1.88,1374.20,5.16,998.69
104,ROCm,Graphics,DeepSeek-V2-Down,20,4096,5120,1536,bf16,PASS,1.14,1132.74,2.53,1016.89
105,ROCm,Graphics,DeepSeek-V2-GateUP,20,8192,3072,5120,bf16,PASS,3.71,1389.82,9.93,1038.08
106,ROCm,Graphics,DeepSeek-V2-Down,20,8192,5120,1536,bf16,PASS,2.25,1147.85,4.85,1063.52
107,ROCm,Graphics,DeepSeek-V2-GateUP,20,16384,3072,5120,bf16,PASS,7.34,1404.77,19.33,1066.26
108,ROCm,Graphics,DeepSeek-V2-Down,20,16384,5120,1536,bf16,PASS,4.46,1156.41,9.47,1089.05
109,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,2,512,2816,2048,bf16,PASS,0.07,172.81,0.14,165.27
110,ROCm,Graphics,DeepSeek-V2-Lite-Down,2,512,2048,1408,bf16,PASS,0.07,86.81,0.14,83.90
111,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,2,1024,2816,2048,bf16,PASS,0.07,348.00,0.14,335.41
112,ROCm,Graphics,DeepSeek-V2-Lite-Down,2,1024,2048,1408,bf16,PASS,0.07,173.09,0.14,167.66
113,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,2,2048,2816,2048,bf16,PASS,0.07,672.15,0.16,582.43
114,ROCm,Graphics,DeepSeek-V2-Lite-Down,2,2048,2048,1408,bf16,PASS,0.07,335.82,0.14,336.82
115,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,2,4096,2816,2048,bf16,PASS,0.10,916.53,0.24,774.09
116,ROCm,Graphics,DeepSeek-V2-Lite-Down,2,4096,2048,1408,bf16,PASS,0.07,682.24,0.21,456.95
117,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,2,8192,2816,2048,bf16,PASS,0.16,1173.07,0.45,832.37
118,ROCm,Graphics,DeepSeek-V2-Lite-Down,2,8192,2048,1408,bf16,PASS,0.08,1135.34,0.42,450.90
119,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,2,16384,2816,2048,bf16,PASS,0.32,1183.17,0.87,865.47
120,ROCm,Graphics,DeepSeek-V2-Lite-Down,2,16384,2048,1408,bf16,PASS,0.17,1136.58,0.76,499.36
121,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,4,512,2816,2048,bf16,PASS,0.07,347.61,0.14,331.45
122,ROCm,Graphics,DeepSeek-V2-Lite-Down,4,512,2048,1408,bf16,PASS,0.07,172.38,0.14,167.55
123,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,4,1024,2816,2048,bf16,PASS,0.07,693.37,0.19,497.26
124,ROCm,Graphics,DeepSeek-V2-Lite-Down,4,1024,2048,1408,bf16,PASS,0.07,348.02,0.14,335.13
125,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,4,2048,2816,2048,bf16,PASS,0.11,896.49,0.27,706.80
126,ROCm,Graphics,DeepSeek-V2-Lite-Down,4,2048,2048,1408,bf16,PASS,0.07,692.67,0.17,565.25
127,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,4,4096,2816,2048,bf16,PASS,0.16,1150.31,0.48,790.52
128,ROCm,Graphics,DeepSeek-V2-Lite-Down,4,4096,2048,1408,bf16,PASS,0.08,1117.81,0.29,648.37
129,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,4,8192,2816,2048,bf16,PASS,0.32,1182.15,0.89,849.74
130,ROCm,Graphics,DeepSeek-V2-Lite-Down,4,8192,2048,1408,bf16,PASS,0.17,1125.91,0.50,762.58
131,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,4,16384,2816,2048,bf16,PASS,0.60,1267.42,1.73,875.90
132,ROCm,Graphics,DeepSeek-V2-Lite-Down,4,16384,2048,1408,bf16,PASS,0.33,1145.65,0.95,797.04
133,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,8,512,2816,2048,bf16,PASS,0.07,698.59,0.20,472.74
134,ROCm,Graphics,DeepSeek-V2-Lite-Down,8,512,2048,1408,bf16,PASS,0.07,349.34,0.14,326.24
135,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,8,1024,2816,2048,bf16,PASS,0.11,869.87,0.26,734.23
136,ROCm,Graphics,DeepSeek-V2-Lite-Down,8,1024,2048,1408,bf16,PASS,0.07,699.94,0.19,507.14
137,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,8,2048,2816,2048,bf16,PASS,0.17,1124.04,0.43,872.21
138,ROCm,Graphics,DeepSeek-V2-Lite-Down,8,2048,2048,1408,bf16,PASS,0.09,1099.35,0.31,604.93
139,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,8,4096,2816,2048,bf16,PASS,0.32,1168.51,0.78,966.66
140,ROCm,Graphics,DeepSeek-V2-Lite-Down,8,4096,2048,1408,bf16,PASS,0.17,1103.37,0.51,738.07
141,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,8,8192,2816,2048,bf16,PASS,0.60,1255.05,1.49,1013.70
142,ROCm,Graphics,DeepSeek-V2-Lite-Down,8,8192,2048,1408,bf16,PASS,0.33,1134.93,0.96,784.28
143,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,8,16384,2816,2048,bf16,PASS,1.19,1267.15,2.90,1041.09
144,ROCm,Graphics,DeepSeek-V2-Lite-Down,8,16384,2048,1408,bf16,PASS,0.66,1149.38,1.87,808.26
145,ROCm,Graphics,Grok-2-GateUP,1,512,32768,8192,bf16,PASS,0.17,1609.30,7.85,70.06
146,ROCm,Graphics,Grok-2-Down,1,512,8192,16384,bf16,PASS,0.10,1405.15,3.99,68.85
147,ROCm,Graphics,Grok-2-GateUP,1,1024,32768,8192,bf16,PASS,0.25,2173.91,15.28,71.95
