Model,Layer,G,N,K,MiB,variant,ms,GBps,speedup_vs_torch,cv,correct,sclk_min,sclk_max
qwen3-235b-a22b,fc2,16,4096,4096,512.0,triton_128x128,0.06691,16047.6,12.3886,0.00205,True,2076.5,2088.5
deepseek-v3,fc1,32,4096,7168,1792.0,copy_same_bytes,0.51336,7320.6,5.7177,0.00063,True,2030.5,2036.8
deepseek-v3,fc1,32,4096,7168,1792.0,torch_contiguous,2.93525,1280.3,1.0,0.00447,True,2030.5,2036.8
deepseek-v3,fc1,32,4096,7168,1792.0,torch_copy_into,2.92917,1283.0,1.0021,0.00504,True,2030.5,2036.8
deepseek-v3,fc1,32,4096,7168,1792.0,triton_32x32,0.6062,6199.4,4.842,0.00547,True,2030.5,2036.8
deepseek-v3,fc1,32,4096,7168,1792.0,triton_64x64,0.43846,8571.1,6.6944,0.00117,True,2030.5,2036.8
deepseek-v3,fc1,32,4096,7168,1792.0,triton_128x64,0.24631,15257.7,11.917,0.00192,True,2030.5,2036.8
deepseek-v3,fc1,32,4096,7168,1792.0,triton_64x128,0.43133,8712.7,6.805,0.00092,True,2030.5,2036.8
deepseek-v3,fc1,32,4096,7168,1792.0,triton_128x128,0.23599,15924.7,12.4379,0.00198,True,2030.5,2036.8
deepseek-v3,fc2,32,7168,2048,896.0,copy_same_bytes,0.25883,7259.8,6.3744,0.00088,True,2032.9,2038.1
deepseek-v3,fc2,32,7168,2048,896.0,torch_contiguous,1.64987,1138.9,1.0,0.00099,True,2032.9,2038.1
deepseek-v3,fc2,32,7168,2048,896.0,torch_copy_into,1.64688,1141.0,1.0018,0.00092,True,2032.9,2038.1
deepseek-v3,fc2,32,7168,2048,896.0,triton_32x32,0.30549,6150.9,5.4007,0.00592,True,2032.9,2038.1
deepseek-v3,fc2,32,7168,2048,896.0,triton_64x64,0.21942,8563.5,7.5191,0.00173,True,2032.9,2038.1
deepseek-v3,fc2,32,7168,2048,896.0,triton_128x64,0.11987,15675.8,13.7639,0.0018,True,2032.9,2038.1
deepseek-v3,fc2,32,7168,2048,896.0,triton_64x128,0.22087,8507.6,7.47,0.00122,True,2032.9,2038.1
deepseek-v3,fc2,32,7168,2048,896.0,triton_128x128,0.11682,16085.6,14.1237,0.00287,True,2032.9,2038.1
