Model,Layer,G,avg_m,N,K,supported,tile,dout_MiB,w_MiB,avg_m_over_K,rel_vk,rel_nt,bitwise_equal,t_vk_route_ms,t_nt_hoisted_ms,t_nt_per_call_ms,t_triton_ms,cv_vk_route,cv_nt_hoisted,cv_nt_per_call,cv_triton,sclk_min,sclk_max
gpt-oss-20b,fc1,4,512,5760,2880,True,"(256, 256, 128, 4, 2, 2)",22.5,126.56,0.1778,0.0016619695973908374,0.0016619695973908374,True,0.35859,0.07693,0.10949,0.12184,0.00447,0.01608,0.00487,0.00673,2295.5,2306.6
gpt-oss-20b,fc1,4,2048,5760,2880,True,"(256, 256, 128, 4, 2, 2)",90.0,126.56,0.7111,0.0016607139765127583,0.0016607139765127583,True,0.37313,0.17391,0.20322,0.24769,0.0033,0.00592,0.00415,0.00278,2215.1,2234.4
qwen3-30b-a3b,fc1,16,512,4096,2048,True,"(256, 256, 128, 4, 2, 2)",64.0,256.0,0.25,0.0016613198544692875,0.0016613198544692875,True,1.00869,0.12525,0.16809,0.10291,0.00253,0.00214,0.00396,0.01067,2246.1,2262.0
qwen3-235b-a22b,fc1,16,512,8192,4096,True,"(256, 256, 128, 4, 2, 2)",128.0,1024.0,0.125,0.00165593217743209,0.00165593217743209,True,1.83191,0.37777,0.50791,0.37616,0.00199,0.00304,0.00193,0.0023,2091.0,2106.8
qwen3-235b-a22b,fc1,16,2048,8192,4096,True,"(256, 256, 128, 4, 2, 2)",512.0,1024.0,0.5,0.0016560306255597418,0.0016560306255597418,True,2.03457,1.11401,1.24216,1.45298,0.00425,0.00422,0.00288,0.00188,2073.9,2090.9
deepseek-v3,fc1,32,128,4096,7168,True,"(64, 64, 64, 2, 2, 2)",32.0,1792.0,0.0179,0.0016619506816183036,0.0016619506816183036,True,2.03449,0.29532,0.52892,0.39222,0.00111,0.00197,0.00193,0.00261,2117.9,2129.6
deepseek-v3,fc1,32,512,4096,7168,True,"(256, 256, 128, 4, 2, 2)",128.0,1792.0,0.0714,0.0016614571913430296,0.0016614571913430296,True,2.0978,0.68673,0.92102,0.70472,0.00154,0.00261,0.00234,0.00309,2091.6,2107.6
deepseek-v3,fc2,32,512,7168,2048,True,"(256, 256, 128, 4, 2, 2)",224.0,896.0,0.25,0.0016578735465070885,0.0016578735465070885,True,3.20516,0.33776,0.45123,0.34092,0.00143,0.00178,0.0013,0.00303,2100.1,2113.4
